identifier,labels,de,de_ch,en,es,es_ar,es_co,fr,fr_ca,nl
ChildSurveyIntro,child_survey,"<font face=Verdana size=4>In diesen Fragen geht es darum, wie du dich in der Schule fühlst und was du in der Schule machst. Es gibt keine richtigen oder falschen Antworten. Wähle die Antwort, die am besten beschreibt, was du denkst.<b><font face=Verdana size=4> Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer.<br><br>Die ersten beiden Fragen sind zum Üben.","<font face=Verdana size=4>In diesen Fragen geht es darum, wie du dich in der Schule fühlst und was du in der Schule machst. Es gibt keine richtigen oder falschen Antworten. Wähle die Antwort, die am besten beschreibt, was du denkst.<b><font face=Verdana size=4> Nein, nie; Ja, manchmal; Ja, meistens; Ja, immer.<br><br>Die ersten beiden Fragen sind zum Üben.","<font face=Verdana size=4>These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. <b><font face=Verdana size=4>No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time.<br><br>The first two are for practice.","<font face=Verdana size=4>Estas preguntas se refieren a cómo te sientes en la escuela y a lo que haces en la escuela. No hay respuestas correctas ni incorrectas. Elige la respuesta que más se acerque a lo que piensas. <br><b><font face=Verdana size=4> No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre. <br><br>Ensaya con las dos primeras preguntas cómo responder.","<font face=Verdana size=4>These questions ask you about how you feel at school and some of the things you do at school. There are no right or wrong answers. Choose the answer that best describes what you think. <b><font face=Verdana size=4>No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time.<br><br>The first two are for practice.","<font face=Verdana size=4>Estas preguntas se refieren a cómo te sientes en la escuela y a lo que haces en la escuela. No hay respuestas correctas ni incorrectas. Elige la respuesta que más se acerque a lo que piensas. <br><b><font face=Verdana size=4> No, nunca; Sí, algunas veces; Sí, muchas veces; Sí, siempre. <br><br>Ensaya con las dos primeras preguntas cómo responder.","<font face=Verdana size=4>Ces questions vous demandent comment vous vous sentez à l'école et certaines choses que vous faites à l'école. Il n'y a pas de bonnes ou de mauvaises réponses. Choisissez la réponse qui décrit le mieux ce que vous pensez. <b><font face=Verdana size=4>Non, jamais; Oui, quelquefois; Oui, la plupart du temps; Oui, tout le temps.<br><br>Les deux premiers sont pour la pratique.","<font face=Verdana size=4>Ces questions vous demandent comment vous vous sentez à l'école et certaines choses que vous faites à l'école. Il n'y a pas de bonnes ou de mauvaises réponses. Choisissez la réponse qui décrit le mieux ce que vous pensez. <b><font face=Verdana size=4>Non, jamais; Oui, quelquefois; Oui, la plupart du temps; Oui, tout le temps.<br><br>Les deux premiers sont pour la pratique.","<font face=Verdana size=4>Deze vragen gaan over hoe je je voelt op school en over dingen die je op school doet. Er zijn geen goede of foute antwoorden. Kies het antwoord dat het beste beschrijft wat je denkt. <b><font face=Verdana size=4>Nee, nooit; Ja, soms; Ja, meestal; Ja, altijd.<br><br>De eerste twee zijn voor oefening."
Example1Comic,child_survey,Liest du gerne Comics?,Liest du gerne Comics?,Do you like to read comic books?,¿Te gusta leer historietas (comics)?,¿Te gusta leer historietas (comics)?,¿Te gusta leer historietas (comics)?,Aimez-vous lire des bandes dessinées ?,Aimez-vous lire des bandes dessinées ?,Houd je van het lezen van stripboeken?
Example1Comic,child_survey,"Nein, nie","Nein, nie","No, never","No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit"
Example1Comic,child_survey,"Ja, manchmal","Ja, manchmal","Yes, some of the time","Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, quelquefois","Oui, quelquefois","Ja, soms"
Example1Comic,child_survey,"Ja, meistens","Ja, meistens","Yes, most of the time","Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, meestal"
Example1Comic,child_survey,"Ja, immer","Ja, immer","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd"
Example2Neat,child_survey,Bist du in der Schule ordentlich?,Bist du in der Schule ordentlich?,Are you neat and tidy at school?,¿Eres limpio y ordenado en el colegio?,¿Eres limpio y ordenado en el colegio?,¿Eres limpio y ordenado en el colegio?,Êtes-vous soigneux et ordonné à l'école ?,Êtes-vous soigneux et ordonné à l'école ?,Ben je netjes en opgeruimd op school?
Example2Neat,child_survey,"Nein, nie","Nein, nie","No, never","No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit"
Example2Neat,child_survey,"Ja, manchmal","Ja, manchmal","Yes, some of the time","Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd"
Example2Neat,child_survey,"Ja, meistens","Ja, meistens","Yes, most of the time","Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd"
