identifier,labels,text,en,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH
parent_survey_child_001,CaregiverSurveyIntroA,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>,<block><b><font face=Verdana size=4>
parent_survey_child_002,CaregiverSectionIntro1,This section asks general information questions and questions about your child's health.,This section asks general information questions and questions about your child's health.,"Por favor, indique su relación con el niño que participa en el proyecto.","Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen, das hier teilnimmt.",Cette section comporte des questions d'ordre général ainsi que des questions concernant la santé de votre enfant.,Dit gedeelte stelt algemene informatievragen en vragen over de gezondheid van uw kind.,"Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen, das hier teilnimmt.","Por favor, indique su relación con el niño que participa en el proyecto.",This section asks general information questions and questions about your child's health.
parent_survey_child_003,CaregiverSectionIntro1,"<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.","<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health.</b>","<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a).",In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,"<block><b><font face=""Verdana"" size=""4"">Cette section comporte des questions d'ordre général ainsi que des questions concernant la santé de votre enfant.","<block><b><font face=""Verdana"" size=""4"">Dit gedeelte stelt algemene informatievragen en vragen over de gezondheid van uw kind.",In diesem Abschnitt werden allgemeine Informationsfragen und Fragen zur Gesundheit Ihres Kindes gestellt.,"<block><b><font face=""Verdana"" size=""4"">En esta sección se indaga por información general y por la salud de su niño(a).","<block><b><font face=""Verdana"" size=""4"">This section asks general information questions and questions about your child's health."
parent_survey_child_004,RespondentRelationship,Please indicate your relationship to the child participating in this research project.,Please indicate your relationship to the child participating in this research project.,"Por favor, indique su relación con el niño que participa en el proyecto.","Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen, das hier teilnimmt.",Veuillez indiquer votre relation avec l'enfant participant à ce projet de recherche.,Geef alstublieft aan wat uw relatie tot het kind dat aan dit onderzoeksproject deelneemt is.,"Bitte geben Sie an, in welcher Beziehung Sie zu dem Kind stehen, das hier teilnimmt.","Por favor, indique su relación con el niño que participa en el proyecto.",Please indicate your relationship to the child participating in this research project.
parent_survey_child_005,RespondentRelationship,Biological or Adoptive Mother,Biological or Adoptive Mother,Madre biológica o adoptiva,Biologische Mutter oder Adoptivmutter,Mère biologique ou adoptive,Biologische of adoptiemoeder,Biologische Mutter oder Adoptivmutter,Madre biológica o adoptiva,Biological or Adoptive Mother
parent_survey_child_006,RespondentRelationship,Biological or Adoptive Father,Biological or Adoptive Father,Padre biológico o adoptivo,Biologischer Vater oder Adoptivvater,Père biologique ou adoptif,Biologische of adoptievader,Biologischer Vater oder Adoptivvater,Padre biológico o adoptivo,Biological or Adoptive Father
parent_survey_child_007,RespondentRelationship,Step-mother,Step-mother,Madrastra,Stiefmutter,Belle-mère,Stiefmoeder,Stiefmutter,Madrastra,Step-mother
parent_survey_child_008,RespondentRelationship,Step-father,Step-father,Padrastro,Stiefvater,Beau-père,Stiefvader,Stiefvater,Padrastro,Step-father
parent_survey_child_009,RespondentRelationship,,,,,,,,,
parent_survey_child_010,RespondentRelationship,,,,,,,,,
parent_survey_child_011,RespondentRelationship,Foster Parent,Foster Parent,Padre de acogida,Pflegeeltern,Parent d'accueil,Pleegouder,Pflegeeltern,Padre de acogida,Foster Parent
parent_survey_child_012,RespondentRelationship,Other Relative,Other Relative,Otro familiar,Andere Verwandte,Autre parenté,Ander familielid,Andere Verwandte,Otro familiar,Other Relative
parent_survey_child_013,RespondentRelationship,Other Non-Relative,Other Non-Relative,Otro no familiar,Andere Nicht-Verwandte,Autre non-parenté,Ander niet-familielid,Andere Nicht-Verwandte,Otro no familiar,Other Non-Relative
parent_survey_child_014,RespondentRelationshipOtherSpecify,Please specify your relationship to the child.,Please specify your relationship to the child.,Especifique su relación con el niño.,Bitte geben Sie Ihre Beziehung zu dem Kind an.,Veuillez spécifier votre relation avec l'enfant.,Geef alstublieft aan wat uw relatie tot het kind is.,Bitte geben Sie Ihre Beziehung zu dem Kind an.,Especifique su relación con el niño.,Please specify your relationship to the child.
parent_survey_child_015,RespondentTimeCaring,Please indicate for how long you have been caring for this child.,Please indicate for how long you have been caring for this child.,Indique durante cuánto tiempo ha cuidado de este niño(a).,"Bitte geben Sie an, wie lange Sie dieses Kind bereits betreuen.",Veuillez indiquer depuis combien de temps vous vous occupez de cet enfant.,Geef alstublieft aan hoe lang u al voor dit kind zorgt.,"Bitte geben Sie an, wie lange Sie dieses Kind bereits betreuen.",Indique durante cuánto tiempo ha cuidado de este niño(a).,Please indicate for how long you have been caring for this child.
parent_survey_child_016,RespondentTimeCaring,years,years,años,Jahre,années,jaren,Jahre,años,years
parent_survey_child_017,RespondentTimeCaring,years,years,años,Jahre,années,jaren,Jahre,años,years
parent_survey_child_018,RespondentTimeCaringYears,months,months,meses,Monate,mois,maanden,Monate,meses,months
parent_survey_child_019,RespondentTimeCaringYears,months,months,meses,Monate,mois,maanden,Monate,meses,months
parent_survey_child_020,ChildAgeYears,What is your child's current age in years?,What is your child's current age in years?,¿Cuál es la edad ACTUAL de su hijo(a) en años?,Wie alt ist Ihr Kind derzeit in Jahren?,Quel est l'âge actuel de votre enfant en années?,Wat is de huidige leeftijd van uw kind in jaren?,Wie alt ist Ihr Kind derzeit in Jahren?,¿Cuál es la edad ACTUAL de su hijo(a) en años?,What is your child's current age in years?
parent_survey_child_021,ChildAgeYears,years of age,years of age,años,Lebensjahre,ans,leeftijdsjaren,Lebensjahre,años,years of age
parent_survey_child_022,ChildHeightCurrent,What is your child's CURRENT height? (please estimate to the best of your knowledge),What is your child's CURRENT height? (please estimate to the best of your knowledge),"¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Wie groß ist Ihr Kind AKTUELL?,Quelle est la taille actuelle de votre enfant? (merci d'estimer aussi précisément que possible),Wat is de huidige lengte van uw kind? (schat dit indien nodig zo nauwkeurig mogelijk),Wie groß ist Ihr Kind AKTUELL?,"¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",What is your child's CURRENT height? (please estimate to the best of your knowledge)
parent_survey_child_023,ChildHeightCurrentFeet,meters,meters,metros,Meter,mètres,meters,Meter,metros,meters
parent_survey_child_024,ChildHeightCurrentFeet,meters,meters,metros,Meter,mètres,meters,Meter,metros,meters
parent_survey_child_025,ChildHeightCurrentInches,centimeters,centimeters,centímetros,Zentimeter,centimètres,centimeters,Zentimeter,centímetros,centimeters
parent_survey_child_026,ChildHeightCurrentInches,centimeters,centimeters,centímetros,Zentimeter,centimètres,centimeters,Zentimeter,centímetros,centimeters
parent_survey_child_027,ChildWeightCurrent,What is your child's CURRENT weight? (please estimate to the best of your knowledge),What is your child's CURRENT weight? (please estimate to the best of your knowledge),"¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Was ist das AKTUELLE Gewicht Ihres Kindes?,Quel est le poids actuel de votre enfant? (merci d'estimer aussi précisément que possible),Wat is het huidige gewicht van uw kind? (schat dit indien nodig zo nauwkeurig mogelijk),Was ist das AKTUELLE Gewicht Ihres Kindes?,"¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",What is your child's CURRENT weight? (please estimate to the best of your knowledge)
parent_survey_child_028,ChildWeightCurrentPounds,pounds,pounds,kilos,kilo,livres,pounds,kilo,kilos,pounds
parent_survey_child_029,ChildWeightCurrentPounds,pounds,pounds,kilos,kilo,livres,pounds,kilo,kilos,pounds
parent_survey_child_030,ChildBornEarly,Was your child born early (more than three weeks before due date)?,Was your child born early (more than three weeks before due date)?,¿Su niño(a) nació prematuramente (más de tres semanas antes de la fecha prevista de parto)?,Wurde Ihr Kind zu früh geboren (mehr als drei Wochen vor dem errechneten Geburtstermin)?,Votre enfant est-il né prématurément (c'est-à-dire plus de trois semaines avant la date prévue)?,Is uw kind te vroeg geboren (meer dan drie weken vóór de uitgerekende datum)?,Wurde Ihr Kind zu früh geboren (mehr als drei Wochen vor dem errechneten Geburtstermin)?,¿Su niño(a) nació prematuramente (más de tres semanas antes de la fecha prevista de parto)?,Was your child born early (more than three weeks before due date)?
parent_survey_child_031,ChildBornEarly,,,,,,,,,
parent_survey_child_032,ChildBornEarly,,,,,,,,,
parent_survey_child_033,ChildBornEarly,Don't know,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,weiß nicht,No sé,Don't know
parent_survey_child_034,ChildWeightBirth,"How much did your child weigh at birth? (if you do not know, leave blank)","How much did your child weigh at birth? (if you do not know, leave blank)","¿Cuánto pesó su niño(a) al nacer? (si no lo sabe, déjelo en blanco)","Wie viel hat ihr Kind bei der Geburt gewogen? (wenn Sie es nicht wissen, bitte leer lass)","Quel était le poids de votre enfant à la naissance ? (si vous ne savez pas, laissez vide)","Hoeveel woog uw kind bij de geboorte? (als u het niet weet, laat het leeg)","Wie viel hat ihr Kind bei der Geburt gewogen? (wenn Sie es nicht wissen, bitte leer lass)","¿Cuánto pesó su niño(a) al nacer? (si no lo sabe, déjelo en blanco)","How much did your child weigh at birth? (if you do not know, leave blank)"
parent_survey_child_035,ChildWeightBirth,Grams,Grams,Gramos,Gramm,grammes,gram,Gramm,Gramos,Grams
parent_survey_child_036,ChildHealth,"In general, how would you describe your child's health?","In general, how would you describe your child's health?","En general, ¿cómo describiría la salud de su niño(a)?",Wie würden Sie den Gesundheitszustand Ihres Kindes im Allgemeinen beschreiben?,"En général, comment décririez-vous la santé de votre enfant?",Hoe zou u de gezondheid van uw kind over het algemeen beschrijven?,Wie würden Sie den Gesundheitszustand Ihres Kindes im Allgemeinen beschreiben?,"En general, ¿cómo describiría la salud de su niño(a)?","In general, how would you describe your child's health?"
parent_survey_child_037,ChildHealth,Excellent,Excellent,Excelente,Hervorragend,Excellente,Uitstekend,Hervorragend,Excelente,Excellent
parent_survey_child_038,ChildHealth,Very Good,Very Good,Muy buena,Sehr gut,Très bonne,Zeer goed,Sehr gut,Muy buena,Very Good
parent_survey_child_039,ChildHealth,Good,Good,Buena,Gut,Bonne,Goed,Gut,Buena,Good
parent_survey_child_040,ChildHealth,Fair,Fair,Regular,Mittelmäßig,Passable,Gematigd,Mittelmäßig,Regular,Fair
parent_survey_child_041,ChildHealth,Poor,Poor,Deficiente,Schlecht,Mauvaise,Slecht,Schlecht,Deficiente,Poor
parent_survey_child_042,ChildTeeth,How would you describe the condition of your child's teeth?,How would you describe the condition of your child's teeth?,¿Cómo describiría la salud dental de su niño(a)?,Wie würden Sie den Zustand der Zähne Ihres Kindes beschreiben?,Comment décririez-vous l'état des dents de votre enfant?,Hoe zou u de staat van het gebit van uw kind beschrijven?,Wie würden Sie den Zustand der Zähne Ihres Kindes beschreiben?,¿Cómo describiría la salud dental de su niño(a)?,How would you describe the condition of your child's teeth?
parent_survey_child_043,ChildTeeth,Excellent,Excellent,Excelente,Hervorragend,Excellente,Uitstekend,Hervorragend,Excelente,Excellent
parent_survey_child_044,ChildTeeth,Very Good,Very Good,Muy buena,Sehr gut,Très bonne,Zeer goed,Sehr gut,Muy buena,Very Good
parent_survey_child_045,ChildTeeth,Good,Good,Buena,Gut,Bonne,Goed,Gut,Buena,Good
parent_survey_child_046,ChildTeeth,Fair,Fair,Regular,Mittelmäßig,Passable,Gematigd,Mittelmäßig,Regular,Fair
parent_survey_child_047,ChildTeeth,Poor,Poor,Deficiente,Schlecht,Mauvaise,Slecht,Schlecht,Deficiente,Poor
